STN---,WBAN ,YEARMODA,TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
998227,99999,20100113,81,24,9999.9,0,1013.1,24,9999.9,0,999.9,0,4.8,24,9.9,999.9,   84.9*,  77.7*, 0.00I,999.9,0
998227,99999,20100114,81.4,12,9999.9,0,1012.9,12,9999.9,0,999.9,0,9.7,12,14,999.9,   83.5*,  79.2*, 0.00I,999.9,0
998227,99999,20100115,80.3,8,9999.9,0,1013.3,8,9999.9,0,999.9,0,7.2,8,9.9,999.9,   81.5*,  79.7*, 0.00I,999.9,0
998227,99999,20100116,80.8,24,9999.9,0,1013,24,9999.9,0,999.9,0,10.5,24,16.9,999.9,   83.7*,  79.2*, 0.00I,999.9,0
998227,99999,20100117,78.4,24,9999.9,0,1012.8,24,9999.9,0,999.9,0,7.7,24,13,999.9,   80.6*,  75.7*, 0.00I,999.9,0
998227,99999,20100118,78.1,24,9999.9,0,1013.2,24,9999.9,0,999.9,0,8.7,24,15,999.9,   81.9*,  74.7*, 0.00I,999.9,0
998227,99999,20100119,79.3,24,9999.9,0,1014.4,24,9999.9,0,999.9,0,19.7,24,28.9,999.9,   80.8*,  76.5*, 0.00I,999.9,0
998227,99999,20100120,79.6,24,9999.9,0,1014,24,9999.9,0,999.9,0,12.8,24,20,999.9,   81.3*,  77.9*, 0.00I,999.9,0
998227,99999,20100121,79.4,24,9999.9,0,1013.9,24,9999.9,0,999.9,0,9.6,24,18.1,999.9,   81.7*,  77.0*, 0.00I,999.9,0
998227,99999,20100122,79.8,24,9999.9,0,1014.1,24,9999.9,0,999.9,0,8.4,24,14,999.9,   82.6*,  77.5*, 0.00I,999.9,0
998227,99999,20100123,77.8,24,9999.9,0,1013.2,24,9999.9,0,999.9,0,7.7,24,12,999.9,   79.3*,  74.3*, 0.00I,999.9,0
998227,99999,20100124,79.5,24,9999.9,0,1012.7,24,9999.9,0,999.9,0,11.4,24,20,999.9,   81.5*,  77.4*, 0.00I,999.9,0
998227,99999,20100125,79.8,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,10.3,24,18.1,999.9,   81.7*,  77.9*, 0.00I,999.9,0
998227,99999,20100126,80.5,24,9999.9,0,1013,24,9999.9,0,999.9,0,10.8,24,16.9,999.9,   82.4*,  78.3*, 0.00I,999.9,0
998227,99999,20100127,79.8,24,9999.9,0,1012.3,24,9999.9,0,999.9,0,13,24,20,999.9,   81.3*,  78.1*, 0.00I,999.9,0
998227,99999,20100128,79.8,24,9999.9,0,1013.3,24,9999.9,0,999.9,0,10.1,24,18.1,999.9,   82.2*,  77.9*, 0.00I,999.9,0
998227,99999,20100129,79.7,24,9999.9,0,1014,24,9999.9,0,999.9,0,9.1,24,15.9,999.9,   82.4*,  77.5*, 0.00I,999.9,0
998227,99999,20100130,79.7,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,10.5,24,19,999.9,   82.2*,  77.7*, 0.00I,999.9,0
998227,99999,20100131,80.4,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,9.4,24,15,999.9,   83.3*,  78.4*, 0.00I,999.9,0
998227,99999,20100201,79.9,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,8.6,24,16.9,999.9,   83.7*,  76.3*, 0.00I,999.9,0
998227,99999,20100202,80,24,9999.9,0,1012.9,24,9999.9,0,999.9,0,6.1,24,12,999.9,   84.6*,  77.4*, 0.00I,999.9,0
998227,99999,20100203,79.7,24,9999.9,0,1014.1,24,9999.9,0,999.9,0,11.7,24,18.1,999.9,   81.5*,  77.9*, 0.00I,999.9,0
998227,99999,20100204,78.8,24,9999.9,0,1014.1,24,9999.9,0,999.9,0,9.2,24,15.9,999.9,   80.6*,  77.0*, 0.00I,999.9,0
998227,99999,20100205,79.2,24,9999.9,0,1014.3,24,9999.9,0,999.9,0,7.6,24,15,999.9,   81.5*,  77.2*, 0.00I,999.9,0
998227,99999,20100206,80,24,9999.9,0,1014.9,24,9999.9,0,999.9,0,13.4,24,15.9,999.9,   80.6*,  79.2*, 0.00I,999.9,0
998227,99999,20100207,79.5,24,9999.9,0,1015.3,24,9999.9,0,999.9,0,15.7,24,20,999.9,   80.8*,  78.6*, 0.00I,999.9,0
998227,99999,20100208,79.4,24,9999.9,0,1016.9,24,9999.9,0,999.9,0,12.9,24,21,999.9,   80.8*,  77.5*, 0.00I,999.9,0
998227,99999,20100209,79.6,24,9999.9,0,1017.4,24,9999.9,0,999.9,0,12.7,24,20,999.9,   82.4*,  77.2*, 0.00I,999.9,0
998227,99999,20100210,79.7,24,9999.9,0,1017.1,24,9999.9,0,999.9,0,10.9,24,15.9,999.9,   82.4*,  77.0*, 0.00I,999.9,0
998227,99999,20100211,80,24,9999.9,0,1015.6,24,9999.9,0,999.9,0,9.9,24,15.9,999.9,   82.8*,  77.2*, 0.00I,999.9,0
998227,99999,20100212,80.2,24,9999.9,0,1014.4,24,9999.9,0,999.9,0,9.5,24,15.9,999.9,   83.1*,  77.4*, 0.00I,999.9,0
998227,99999,20100213,80.4,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,10.1,24,15,999.9,   84.0*,  78.4*, 0.00I,999.9,0
998227,99999,20100214,80.4,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,10.8,24,16.9,999.9,   83.7*,  78.1*, 0.00I,999.9,0
998227,99999,20100215,80,24,9999.9,0,1013.1,24,9999.9,0,999.9,0,7.6,24,16.9,999.9,   84.6*,  76.8*, 0.00I,999.9,0
998227,99999,20100216,80.7,24,9999.9,0,1013.2,24,9999.9,0,999.9,0,9.7,24,15.9,999.9,   83.7*,  79.0*, 0.00I,999.9,0
998227,99999,20100217,80.6,24,9999.9,0,1013.2,24,9999.9,0,999.9,0,8.8,24,15.9,999.9,   84.2*,  77.0*, 0.00I,999.9,0
998227,99999,20100218,78.9,24,9999.9,0,1013.1,24,9999.9,0,999.9,0,4.8,23,12,999.9,   82.9*,  74.3*, 0.00I,999.9,0
998227,99999,20100219,78.3,23,9999.9,0,1012.8,23,9999.9,0,999.9,0,3.1,23,9.9,999.9,   83.8*,  76.3*, 0.00I,999.9,0
998227,99999,20100220,79.4,24,9999.9,0,1012.6,24,9999.9,0,999.9,0,6.7,24,11.1,999.9,   83.8*,  77.7*, 0.00I,999.9,0
998227,99999,20100221,79.9,24,9999.9,0,1013.1,24,9999.9,0,999.9,0,5.9,24,13,999.9,   84.6*,  75.9*, 0.00I,999.9,0
998227,99999,20100222,78.4,24,9999.9,0,1012.9,24,9999.9,0,999.9,0,4.8,24,11.1,999.9,   81.1*,  74.8*, 0.00I,999.9,0
998227,99999,20100223,79.6,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,3.7,23,8.9,999.9,   84.0*,  76.8*, 0.00I,999.9,0
998227,99999,20100224,81.1,24,9999.9,0,1010.9,24,9999.9,0,999.9,0,5,24,9.9,999.9,   84.6*,  79.3*, 0.00I,999.9,0
998227,99999,20100225,79,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,9,24,15,999.9,   81.1*,  75.9*, 0.00I,999.9,0
998227,99999,20100226,79,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,10.1,24,19,999.9,   81.5*,  77.5*, 0.00I,999.9,0
998227,99999,20100227,80.4,24,9999.9,0,1013.4,24,9999.9,0,999.9,0,9.6,24,15,999.9,   83.3*,  77.5*, 0.00I,999.9,0
998227,99999,20100228,79.9,12,9999.9,0,1014.1,12,9999.9,0,999.9,0,8.5,12,12,999.9,   82.6*,  74.8*, 0.00I,999.9,0
998227,99999,20100301,78.4,7,9999.9,0,1013.6,7,9999.9,0,999.9,0,6.7,7,8.9,999.9,   80.4*,  77.9*, 0.00I,999.9,0
998227,99999,20100302,79.5,24,9999.9,0,1013.4,24,9999.9,0,999.9,0,8.4,24,15.9,999.9,   82.8*,  76.5*, 0.00I,999.9,0
998227,99999,20100303,78.9,24,9999.9,0,1013.4,24,9999.9,0,999.9,0,7.3,24,13,999.9,   80.6*,  76.8*, 0.00I,999.9,0
998227,99999,20100304,79.7,24,9999.9,0,1013.7,24,9999.9,0,999.9,0,9.9,24,16.9,999.9,   84.4*,  76.1*, 0.00I,999.9,0
998227,99999,20100305,80,24,9999.9,0,1014.6,24,9999.9,0,999.9,0,10.4,24,16.9,999.9,   82.9*,  77.4*, 0.00I,999.9,0
998227,99999,20100306,80.5,24,9999.9,0,1015.1,24,9999.9,0,999.9,0,11.4,24,18.1,999.9,   83.1*,  79.2*, 0.00I,999.9,0
998227,99999,20100307,80.5,24,9999.9,0,1014.2,24,9999.9,0,999.9,0,10.4,24,21,999.9,   84.0*,  76.3*, 0.00I,999.9,0
998227,99999,20100308,79.6,24,9999.9,0,1014.4,24,9999.9,0,999.9,0,8.4,24,15.9,999.9,   82.4*,  76.1*, 0.00I,999.9,0
998227,99999,20100309,80.6,24,9999.9,0,1014.5,24,9999.9,0,999.9,0,6.9,24,13,999.9,   83.8*,  77.4*, 0.00I,999.9,0
998227,99999,20100310,81.2,24,9999.9,0,1015.3,24,9999.9,0,999.9,0,9.3,24,14,999.9,   84.7*,  78.4*, 0.00I,999.9,0
998227,99999,20100311,81,24,9999.9,0,1015.4,24,9999.9,0,999.9,0,10.9,24,18.1,999.9,   84.0*,  78.8*, 0.00I,999.9,0
998227,99999,20100312,80.9,24,9999.9,0,1015.2,24,9999.9,0,999.9,0,9.5,24,14,999.9,   84.2*,  78.6*, 0.00I,999.9,0
998227,99999,20100313,80.7,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,10.9,24,20,999.9,   84.2*,  77.5*, 0.00I,999.9,0
998227,99999,20100314,80.6,24,9999.9,0,1012.8,24,9999.9,0,999.9,0,11.6,24,18.1,999.9,   82.4*,  78.3*, 0.00I,999.9,0
998227,99999,20100315,80.4,24,9999.9,0,1012.1,24,9999.9,0,999.9,0,12.1,24,19,999.9,   82.9*,  75.7*, 0.00I,999.9,0
998227,99999,20100316,80.4,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,10.5,24,16.9,999.9,   83.1*,  77.7*, 0.00I,999.9,0
998227,99999,20100317,80.4,24,9999.9,0,1012.9,24,9999.9,0,999.9,0,12.3,24,18.1,999.9,   83.5*,  77.4*, 0.00I,999.9,0
998227,99999,20100318,80.1,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,9.1,24,14,999.9,   83.1*,  78.3*, 0.00I,999.9,0
998227,99999,20100319,81.4,24,9999.9,0,1012,24,9999.9,0,999.9,0,10.1,24,16.9,999.9,   84.2*,  79.0*, 0.00I,999.9,0
998227,99999,20100320,81.5,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,12,24,18.1,999.9,   84.2*,  79.2*, 0.00I,999.9,0
998227,99999,20100321,81.8,24,9999.9,0,1010,24,9999.9,0,999.9,0,13.4,24,18.1,999.9,   83.3*,  80.6*, 0.00I,999.9,0
998227,99999,20100322,81.1,24,9999.9,0,1009.3,24,9999.9,0,999.9,0,13,24,20,999.9,   82.6*,  80.1*, 0.00I,999.9,0
998227,99999,20100323,81.3,24,9999.9,0,1009.5,24,9999.9,0,999.9,0,12.8,24,21,999.9,   82.6*,  79.9*, 0.00I,999.9,0
998227,99999,20100324,81.5,24,9999.9,0,1010.2,24,9999.9,0,999.9,0,10.3,24,15.9,999.9,   83.8*,  80.1*, 0.00I,999.9,0
998227,99999,20100325,81,24,9999.9,0,1010.9,24,9999.9,0,999.9,0,8.1,24,18.1,999.9,   85.5*,  77.4*, 0.00I,999.9,0
998227,99999,20100326,81.4,24,9999.9,0,1011.5,24,9999.9,0,999.9,0,7.6,24,9.9,999.9,   84.0*,  78.6*, 0.00I,999.9,0
998227,99999,20100327,81.4,24,9999.9,0,1011.8,24,9999.9,0,999.9,0,6.6,24,11.1,999.9,   84.6*,  78.1*, 0.00I,999.9,0
998227,99999,20100328,81,24,9999.9,0,1010.8,24,9999.9,0,999.9,0,5.7,24,9.9,999.9,   84.9*,  77.7*, 0.00I,999.9,0
998227,99999,20100329,80.8,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,4.4,24,9.9,999.9,   85.1*,  77.4*, 0.00I,999.9,0
998227,99999,20100330,80,24,9999.9,0,1012.3,24,9999.9,0,999.9,0,9.2,24,15,999.9,   81.5*,  77.9*, 0.00I,999.9,0
998227,99999,20100331,80.6,24,9999.9,0,1012.3,24,9999.9,0,999.9,0,9.3,24,15,999.9,   83.1*,  78.6*, 0.00I,999.9,0
998227,99999,20100401,80.5,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,8.8,24,16.9,999.9,   83.8*,  78.1*, 0.00I,999.9,0
998227,99999,20100402,80.1,24,9999.9,0,1012.9,24,9999.9,0,999.9,0,10.8,24,15,999.9,   83.7*,  76.1*, 0.00I,999.9,0
998227,99999,20100403,80.9,24,9999.9,0,1013,24,9999.9,0,999.9,0,8.4,24,13,999.9,   84.2*,  78.1*, 0.00I,999.9,0
998227,99999,20100404,81,24,9999.9,0,1012.4,24,9999.9,0,999.9,0,8,24,15,999.9,   84.6*,  77.5*, 0.00I,999.9,0
998227,99999,20100405,81.7,24,9999.9,0,1012.4,24,9999.9,0,999.9,0,9,24,14,999.9,   85.3*,  79.7*, 0.00I,999.9,0
998227,99999,20100406,81.6,24,9999.9,0,1013.5,24,9999.9,0,999.9,0,9,24,14,999.9,   84.6*,  79.5*, 0.00I,999.9,0
998227,99999,20100407,80.7,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,8.1,24,15.9,999.9,   84.0*,  77.5*, 0.00I,999.9,0
998227,99999,20100408,80.6,24,9999.9,0,1013.4,24,9999.9,0,999.9,0,5.8,24,11.1,999.9,   84.7*,  77.4*, 0.00I,999.9,0
998227,99999,20100409,80.9,24,9999.9,0,1012.2,24,9999.9,0,999.9,0,7.6,24,14,999.9,   84.7*,  76.8*, 0.00I,999.9,0
998227,99999,20100410,81.2,24,9999.9,0,1012,24,9999.9,0,999.9,0,8.3,24,13,999.9,   84.7*,  77.4*, 0.00I,999.9,0
998227,99999,20100411,81.2,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,10.6,24,16.9,999.9,   84.6*,  77.7*, 0.00I,999.9,0
998227,99999,20100412,81.6,24,9999.9,0,1013.7,24,9999.9,0,999.9,0,12.7,24,19,999.9,   84.4*,  77.4*, 0.00I,999.9,0
998227,99999,20100413,81.4,24,9999.9,0,1013.9,24,9999.9,0,999.9,0,11.5,24,20,999.9,   83.7*,  79.7*, 0.00I,999.9,0
998227,99999,20100414,81.4,24,9999.9,0,1013.5,24,9999.9,0,999.9,0,10.7,24,16.9,999.9,   84.2*,  79.7*, 0.00I,999.9,0
998227,99999,20100415,81.4,24,9999.9,0,1013.2,24,9999.9,0,999.9,0,11.6,24,20,999.9,   84.6*,  79.3*, 0.00I,999.9,0
998227,99999,20100416,81.7,24,9999.9,0,1013.7,24,9999.9,0,999.9,0,9.4,24,15,999.9,   85.3*,  79.0*, 0.00I,999.9,0
998227,99999,20100417,81.9,24,9999.9,0,1013.4,24,9999.9,0,999.9,0,10.6,24,15,999.9,   85.3*,  79.5*, 0.00I,999.9,0
998227,99999,20100418,81.8,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,10.8,24,18.1,999.9,   84.7*,  79.5*, 0.00I,999.9,0
998227,99999,20100419,82,24,9999.9,0,1012,24,9999.9,0,999.9,0,11.8,24,16.9,999.9,   84.6*,  80.1*, 0.00I,999.9,0
998227,99999,20100420,81.3,24,9999.9,0,1012.2,24,9999.9,0,999.9,0,10,24,18.1,999.9,   84.9*,  78.4*, 0.00I,999.9,0
998227,99999,20100421,82,24,9999.9,0,1012.6,24,9999.9,0,999.9,0,10.7,24,16.9,999.9,   85.8*,  78.3*, 0.00I,999.9,0
998227,99999,20100422,82.1,24,9999.9,0,1013.5,24,9999.9,0,999.9,0,10.6,24,16.9,999.9,   84.2*,  80.4*, 0.00I,999.9,0
998227,99999,20100423,81,24,9999.9,0,1013.4,24,9999.9,0,999.9,0,7.2,24,15,999.9,   84.9*,  76.3*, 0.00I,999.9,0
998227,99999,20100424,82.4,24,9999.9,0,1012.4,24,9999.9,0,999.9,0,7,24,14,999.9,   85.3*,  80.2*, 0.00I,999.9,0
998227,99999,20100425,82,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,5.3,24,9.9,999.9,   87.3*,  78.4*, 0.00I,999.9,0
998227,99999,20100426,80.9,24,9999.9,0,1014,24,9999.9,0,999.9,0,9.4,24,14,999.9,   82.2*,  78.8*, 0.00I,999.9,0
998227,99999,20100427,80.8,24,9999.9,0,1013.9,24,9999.9,0,999.9,0,6.3,24,15,999.9,   83.8*,  78.4*, 0.00I,999.9,0
998227,99999,20100428,82.3,24,9999.9,0,1013.8,24,9999.9,0,999.9,0,6.9,24,13,999.9,   86.7*,  79.2*, 0.00I,999.9,0
998227,99999,20100429,82.8,24,9999.9,0,1014.2,24,9999.9,0,999.9,0,7.1,24,13,999.9,   85.8*,  79.9*, 0.00I,999.9,0
998227,99999,20100430,82.6,24,9999.9,0,1014,24,9999.9,0,999.9,0,7.6,24,14,999.9,   86.4*,  79.9*, 0.00I,999.9,0
998227,99999,20100501,82.5,24,9999.9,0,1013.7,24,9999.9,0,999.9,0,9.5,24,15,999.9,   85.3*,  80.1*, 0.00I,999.9,0
998227,99999,20100502,82.8,24,9999.9,0,1012.6,24,9999.9,0,999.9,0,9.5,24,15.9,999.9,   85.5*,  79.5*, 0.00I,999.9,0
998227,99999,20100503,82.6,24,9999.9,0,1010.8,24,9999.9,0,999.9,0,10,24,13,999.9,   86.0*,  80.8*, 0.00I,999.9,0
998227,99999,20100504,82.2,24,9999.9,0,1010.1,24,9999.9,0,999.9,0,9.1,24,16.9,999.9,   85.1*,  80.1*, 0.00I,999.9,0
998227,99999,20100505,82.4,24,9999.9,0,1010.8,24,9999.9,0,999.9,0,7.9,24,13,999.9,   85.3*,  80.2*, 0.00I,999.9,0
998227,99999,20100506,82.6,24,9999.9,0,1009.8,24,9999.9,0,999.9,0,9.3,24,15.9,999.9,   85.6*,  80.1*, 0.00I,999.9,0
998227,99999,20100507,82.1,24,9999.9,0,1009.2,24,9999.9,0,999.9,0,8.5,24,15,999.9,   85.8*,  78.6*, 0.00I,999.9,0
998227,99999,20100508,81.7,24,9999.9,0,1008.4,24,9999.9,0,999.9,0,7.5,24,15,999.9,   84.7*,  79.3*, 0.00I,999.9,0
998227,99999,20100509,82.5,24,9999.9,0,1009.3,24,9999.9,0,999.9,0,6.9,24,12,999.9,   85.6*,  79.2*, 0.00I,999.9,0
998227,99999,20100510,83,24,9999.9,0,1010.1,24,9999.9,0,999.9,0,7,24,13,999.9,   87.4*,  80.1*, 0.00I,999.9,0
998227,99999,20100511,82.6,24,9999.9,0,1010.3,24,9999.9,0,999.9,0,8.4,24,15,999.9,   86.0*,  79.7*, 0.00I,999.9,0
998227,99999,20100512,82.9,24,9999.9,0,1010.9,24,9999.9,0,999.9,0,5.6,24,11.1,999.9,   88.0*,  79.7*, 0.00I,999.9,0
998227,99999,20100513,82.9,24,9999.9,0,1011,24,9999.9,0,999.9,0,7.5,24,14,999.9,   88.0*,  79.5*, 0.00I,999.9,0
998227,99999,20100514,83,24,9999.9,0,1009.9,24,9999.9,0,999.9,0,8.8,24,14,999.9,   86.5*,  80.4*, 0.00I,999.9,0
998227,99999,20100515,83.1,24,9999.9,0,1010.1,24,9999.9,0,999.9,0,9.1,24,14,999.9,   84.7*,  82.0*, 0.00I,999.9,0
998227,99999,20100516,82.5,24,9999.9,0,1010.5,24,9999.9,0,999.9,0,6.9,24,15,999.9,   86.5*,  78.3*, 0.00I,999.9,0
998227,99999,20100517,82.8,24,9999.9,0,1010.8,24,9999.9,0,999.9,0,6.1,24,11.1,999.9,   87.6*,  79.9*, 0.00I,999.9,0
998227,99999,20100518,83.1,24,9999.9,0,1010.8,24,9999.9,0,999.9,0,5.3,24,11.1,999.9,   88.3*,  79.2*, 0.00I,999.9,0
998227,99999,20100519,83.7,24,9999.9,0,1011.5,24,9999.9,0,999.9,0,6,24,9.9,999.9,   88.7*,  80.8*, 0.00I,999.9,0
998227,99999,20100520,82.5,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,5.7,24,14,999.9,   85.3*,  79.9*, 0.00I,999.9,0
998227,99999,20100521,82.6,24,9999.9,0,1010,24,9999.9,0,999.9,0,4.9,24,11.1,999.9,   86.2*,  79.7*, 0.00I,999.9,0
998227,99999,20100522,83.2,24,9999.9,0,1010.5,24,9999.9,0,999.9,0,3.9,23,9.9,999.9,   88.0*,  79.3*, 0.00I,999.9,0
998227,99999,20100523,83.1,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,6.6,24,15,999.9,   86.5*,  80.1*, 0.00I,999.9,0
998227,99999,20100524,82.9,24,9999.9,0,1012.1,24,9999.9,0,999.9,0,5.6,24,8.9,999.9,   86.5*,  79.9*, 0.00I,999.9,0
998227,99999,20100525,83.9,24,9999.9,0,1012.2,24,9999.9,0,999.9,0,5.8,24,13,999.9,   88.3*,  80.8*, 0.00I,999.9,0
998227,99999,20100526,83.5,24,9999.9,0,1012.2,24,9999.9,0,999.9,0,4.6,24,9.9,999.9,   87.4*,  79.9*, 0.00I,999.9,0
998227,99999,20100527,83.6,24,9999.9,0,1013.2,24,9999.9,0,999.9,0,5.3,24,9.9,999.9,   88.3*,  80.8*, 0.00I,999.9,0
998227,99999,20100528,83.5,24,9999.9,0,1012.8,24,9999.9,0,999.9,0,4.9,24,12,999.9,   87.6*,  81.1*, 0.00I,999.9,0
998227,99999,20100529,84.4,24,9999.9,0,1012.1,24,9999.9,0,999.9,0,4.6,21,11.1,999.9,   89.4*,  81.0*, 0.00I,999.9,0
998227,99999,20100530,82.5,24,9999.9,0,1011.5,24,9999.9,0,999.9,0,3.2,22,8,999.9,   86.7*,  79.5*, 0.00I,999.9,0
998227,99999,20100531,83.8,24,9999.9,0,1010.6,24,9999.9,0,999.9,0,3.4,23,8,999.9,   88.5*,  79.0*, 0.00I,999.9,0
998227,99999,20100601,84.9,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,5.3,24,9.9,999.9,   90.0*,  80.6*, 0.00I,999.9,0
998227,99999,20100602,83.8,24,9999.9,0,1012.8,24,9999.9,0,999.9,0,4.1,24,8.9,999.9,   89.6*,  79.2*, 0.00I,999.9,0
998227,99999,20100603,83.8,24,9999.9,0,1012.6,24,9999.9,0,999.9,0,7.1,24,14,999.9,   87.6*,  81.0*, 0.00I,999.9,0
998227,99999,20100604,84.1,24,9999.9,0,1011.4,24,9999.9,0,999.9,0,5.7,24,12,999.9,   88.3*,  81.3*, 0.00I,999.9,0
998227,99999,20100605,85.3,24,9999.9,0,1011,24,9999.9,0,999.9,0,5.3,24,8.9,999.9,   89.8*,  82.0*, 0.00I,999.9,0
998227,99999,20100606,84.8,24,9999.9,0,1011.5,24,9999.9,0,999.9,0,5.7,24,13,999.9,   88.9*,  81.7*, 0.00I,999.9,0
998227,99999,20100607,84.3,24,9999.9,0,1011.4,24,9999.9,0,999.9,0,6.4,24,13,999.9,   88.5*,  81.1*, 0.00I,999.9,0
998227,99999,20100608,82.9,24,9999.9,0,1010.9,24,9999.9,0,999.9,0,4.3,24,11.1,999.9,   88.2*,  78.4*, 0.00I,999.9,0
998227,99999,20100609,83.7,24,9999.9,0,1011.5,24,9999.9,0,999.9,0,3.8,23,8.9,999.9,   89.4*,  81.0*, 0.00I,999.9,0
998227,99999,20100610,84.4,24,9999.9,0,1012.1,24,9999.9,0,999.9,0,4,22,8.9,999.9,   89.1*,  81.1*, 0.00I,999.9,0
998227,99999,20100611,84.6,24,9999.9,0,1012.8,24,9999.9,0,999.9,0,3.2,24,6,999.9,   89.2*,  80.6*, 0.00I,999.9,0
998227,99999,20100612,85,24,9999.9,0,1012.6,24,9999.9,0,999.9,0,4.7,24,11.1,999.9,   89.1*,  82.0*, 0.00I,999.9,0
998227,99999,20100613,84.9,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,7.5,24,15,999.9,   89.1*,  82.2*, 0.00I,999.9,0
998227,99999,20100614,84.6,24,9999.9,0,1012.8,24,9999.9,0,999.9,0,6.2,24,12,999.9,   88.7*,  81.5*, 0.00I,999.9,0
998227,99999,20100615,84.5,24,9999.9,0,1012,24,9999.9,0,999.9,0,5.4,24,11.1,999.9,   89.8*,  81.5*, 0.00I,999.9,0
998227,99999,20100616,84.7,24,9999.9,0,1011.8,24,9999.9,0,999.9,0,6.8,24,13,999.9,   88.5*,  82.0*, 0.00I,999.9,0
998227,99999,20100617,84.9,24,9999.9,0,1012.2,24,9999.9,0,999.9,0,8.3,24,16.9,999.9,   88.2*,  82.0*, 0.00I,999.9,0
998227,99999,20100618,82.9,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,7.2,24,19,999.9,   88.0*,  78.6*, 0.00I,999.9,0
998227,99999,20100619,82.8,24,9999.9,0,1012.2,24,9999.9,0,999.9,0,6.9,24,12,999.9,   89.4*,  77.9*, 0.00I,999.9,0
998227,99999,20100620,83.5,24,9999.9,0,1012.5,24,9999.9,0,999.9,0,5.8,24,11.1,999.9,   87.3*,  81.0*, 0.00I,999.9,0
998227,99999,20100621,83.9,24,9999.9,0,1012.7,24,9999.9,0,999.9,0,6.5,24,13,999.9,   88.0*,  80.6*, 0.00I,999.9,0
998227,99999,20100622,83.5,24,9999.9,0,1011.4,24,9999.9,0,999.9,0,8.4,24,16.9,999.9,   86.4*,  81.0*, 0.00I,999.9,0
